latitude,longitude,,speed,event,perform,causeCode
49.282866319075254,4.107265912578656,,90,1,n,
49.28281751032647,4.107078855827175,,90,3,n,
49.28280746146041,4.1070172371325695,,90,3,n,
49.28283904360395,4.10686539106372,,90,3,n,
49.28282755919046,4.1067113443272065,,90,3,n,
49.28280171925032,4.106599110276317,,90,3,n,
49.28271415046368,4.106500080231415,,90,3,n,
49.282656728224055,4.106418655527829,,90,3,n,
49.282574901417064,4.106368040171546,,90,3,n,
49.282574901417064,4.106368040171546,,90,3,n,
49.28248158998028,4.106172180749406,,90,3,n,
49.28237966497829,4.105936709309305,,85,3,n,
49.282302144413165,4.105710040539861,,85,3,n,
49.28225620624302,4.105578000479992,,85,3,n,
49.282207396890364,4.105408549069827,,85,3,n,
49.282152845203726,4.10524349899499,,85,3,n,
49.28210403574873,4.1050872515908114,,85,3,n,
49.28201933687398,4.104851780150711,,70,3,n,
49.281941815742435,4.104655920728573,,70,3,n,
49.28189444165762,4.104508475995051,,70,3,n,
49.28183414730204,4.104347827255544,,70,3,n,
49.28178390194937,4.104202583189688,,70,3,n,
49.281729349794254,4.104050737120839,,70,3,n,
49.28167623316418,4.10390989439031,,70,3,n,
49.28161450295466,4.103729439641823,,70,3,n,
49.28155707943457,4.103559988231658,,90,3,n,
49.28148960671299,4.103361928141853,,90,3,n,
49.28142356949187,4.103172670722707,,90,3,n,
49.281324513494376,4.102912991938298,,90,3,n,
49.28124555567269,4.102699527174842,,90,3,n,
49.281175211325085,4.102525674429348,,90,3,n,
49.281113480488365,4.10234521968086,,80,3,n,
49.28103882914078,4.1021515609263846,,70,3,n,
49.280967048892265,4.101962303507238,,70,3,n,
49.28088378367315,4.101733434070131,,60,3,n,
49.28081631003035,4.101539775315657,,60,3,n,
49.280747400682884,4.101346116561182,,60,3,n,
49.28069858983684,4.1012272805073,,60,3,n,
49.280616759780656,4.101049026426477,,50,3,n,
49.28054928577253,4.100833360995357,,50,3,n,
49.28054928577253,4.100833360995357,,50,3,n,
49.28047032670964,4.100600090222921,,50,3,n,
49.280397110011094,4.100421836142098,,50,3,n,
49.2803511700663,4.100296398085221,,50,3,n,
49.2803511700663,4.100296398085221,,50,3,n,
49.28029948757728,4.100164358025352,,40,3,n,
49.280249240661,4.100038919968476,,40,3,n,
49.28020760746301,4.099917883246929,,40,3,n,
49.28020760746301,4.099917883246929,,40,3,n,
49.28015879608269,4.099796846525383,,40,3,n,
49.28015879608269,4.099796846525383,,30,3,n,
49.28010137086754,4.099642799788868,,30,3,o,0
49.28004681685119,4.0994755490463675,,30,3,n,
49.27999082714006,4.0993369069835035,,40,3,n,
49.27993053045702,4.099185060914654,,40,3,n,
49.27988171880246,4.099044218184127,,40,3,n,
49.27988171880246,4.099044218184127,,50,3,n,
49.279817115067736,4.098883569444619,,60,3,n,
49.279817115067736,4.098883569444619,,60,3,n,
49.27974963996556,4.098681108019486,,60,3,n,
49.27974963996556,4.098681108019486,,60,3,n,
49.279689342987616,4.09851605794465,,70,3,n,
49.279689342987616,4.09851605794465,,70,3,n,
49.27961468948422,4.098322399190174,,70,3,n,
49.27956444187023,4.098185957794976,,70,3,n,
49.27951706550158,4.098058319070436,,70,3,n,
49.27951706550158,4.098058319070436,,80,3,n,
49.2794553325893,4.097880064989612,,80,3,n,
49.2794553325893,4.097880064989612,,80,3,n,
49.27937493612259,4.097677603564479,,80,3,n,
49.27930746041541,4.097510352821978,,80,3,n,
49.279251469864924,4.097338700744147,,80,3,n,
49.2791926079356,4.097173650669311,,80,3,n,
49.27910503274,4.096942580564541,,80,3,n,
49.27910503274,4.096942580564541,,80,3,n,
49.279051913283325,4.096806139169343,,80,3,n,
49.279051913283325,4.096806139169343,,80,3,n,
49.278987308461566,4.096658694435821,,80,3,n,
49.27891121822965,4.096449631007695,,80,3,n,
49.278849484559,4.096269176259208,,90,3,n,
49.27876765143462,4.096029303483778,,90,3,n,
49.2787030462405,4.095857651405949,,90,3,n,
49.2787030462405,4.095857651405949,,90,3,n,
49.27862695557005,4.095672795322133,,90,3,n,
49.27862695557005,4.095672795322133,,90,3,n,
49.27856522154359,4.095494541241309,,90,3,n,
49.27856522154359,4.095494541241309,,90,3,n,
49.27851640853772,4.095377905855091,,90,3,n,
49.27846472412591,4.095232661789235,,90,3,n,
49.278418782381074,4.095138033079662,,90,3,n,
49.27837284059342,4.09501919702578,,90,3,n,
49.278336948542034,4.094928969651535,,90,3,n,
49.27828526394217,4.094790327588675,,90,3,n,
49.27824075771555,4.09466048819647,,90,3,n,
49.27824075771555,4.09466048819647,,90,3,n,
49.27817328045664,4.0945438528102525,,90,2,n,
